name,all,cur_select_size,cur_size_ratio,effect_len,mop,i,model_name,data_name,pair_name
NBC,0.030750036239624023,3000,0.075,2527,RG,0,LeNet5,mnist,mnist_LeNet5
SNAC,0.030775010585784912,3000,0.075,2498,RG,0,LeNet5,mnist,mnist_LeNet5
NAC,0.03280001878738403,4000,0.1,3381,RG,0,LeNet5,mnist,mnist_LeNet5
TKNC,0.03470003604888916,4000,0.1,3358,RG,0,LeNet5,mnist,mnist_LeNet5
NBC,0.033325016498565674,4000,0.1,3354,RG,0,LeNet5,mnist,mnist_LeNet5
SNAC,0.034225046634674065,4000,0.1,3344,RG,0,LeNet5,mnist,mnist_LeNet5
NAC,0.02040004730224609,1000,0.025,1000,RP,0,LeNet5,mnist,mnist_LeNet5
TKNC,0.025100052356719967,1000,0.025,1000,RP,0,LeNet5,mnist,mnist_LeNet5
NBC,0.0191500186920166,1000,0.025,1000,RP,0,LeNet5,mnist,mnist_LeNet5
SNAC,0.018750011920928955,1000,0.025,1000,RP,0,LeNet5,mnist,mnist_LeNet5
NAC,0.026800036430358887,2000,0.05,2000,RP,0,LeNet5,mnist,mnist_LeNet5
TKNC,0.030375003814697262,2000,0.05,2000,RP,0,LeNet5,mnist,mnist_LeNet5
NBC,0.02670001983642578,2000,0.05,2000,RP,0,LeNet5,mnist,mnist_LeNet5
SNAC,0.02822500467300415,2000,0.05,2000,RP,0,LeNet5,mnist,mnist_LeNet5
NAC,0.0314750075340271,3000,0.075,3000,RP,0,LeNet5,mnist,mnist_LeNet5
TKNC,0.035374999046325684,3000,0.075,3000,RP,0,LeNet5,mnist,mnist_LeNet5
NBC,0.032250046730041504,3000,0.075,3000,RP,0,LeNet5,mnist,mnist_LeNet5
SNAC,0.033100008964538574,3000,0.075,3000,RP,0,LeNet5,mnist,mnist_LeNet5
NAC,0.033975005149841316,4000,0.1,4000,RP,0,LeNet5,mnist,mnist_LeNet5
TKNC,0.03692501783370972,4000,0.1,4000,RP,0,LeNet5,mnist,mnist_LeNet5
NBC,0.03637504577636719,4000,0.1,4000,RP,0,LeNet5,mnist,mnist_LeNet5
SNAC,0.03640002012252808,4000,0.1,4000,RP,0,LeNet5,mnist,mnist_LeNet5
NAC,0.018225014209747314,1000,0.025,852,IR,0,LeNet5,mnist,mnist_LeNet5
TKNC,0.02382504940032959,1000,0.025,821,IR,0,LeNet5,mnist,mnist_LeNet5
NBC,0.01925003528594971,1000,0.025,846,IR,0,LeNet5,mnist,mnist_LeNet5
SNAC,0.020525038242340088,1000,0.025,832,IR,0,LeNet5,mnist,mnist_LeNet5
NAC,0.026024997234344482,2000,0.05,1705,IR,0,LeNet5,mnist,mnist_LeNet5
TKNC,0.028725028038024906,2000,0.05,1675,IR,0,LeNet5,mnist,mnist_LeNet5
NBC,0.024525046348571774,2000,0.05,1686,IR,0,LeNet5,mnist,mnist_LeNet5
SNAC,0.02595001459121704,2000,0.05,1665,IR,0,LeNet5,mnist,mnist_LeNet5
